date,views,likes,comments,dislikes,shares,subscribersLost,subscribersGained,estimatedMinutesWatched
2021-05-15,209,4,1,0,0,0,0,193
2021-05-19,238,4,0,0,0,0,0,225
2021-06-13,97,4,1,0,0,0,0,60
2021-08-06,107,4,0,0,0,0,0,83
2021-08-10,141,4,0,0,0,0,0,151
2021-10-18,176,4,0,0,0,0,0,267
2021-12-08,200,4,1,0,0,0,0,224
2022-02-02,21,4,1,0,0,0,0,39
2022-03-15,198,4,1,0,1,0,0,321
2022-06-10,259,4,0,0,2,0,0,504
2021-03-13,89,5,0,0,0,0,0,39
2021-04-07,181,5,2,0,2,0,0,114
2021-05-14,159,5,1,0,0,0,0,170
2021-11-25,157,5,0,0,0,0,0,218
2021-12-04,14,5,0,0,0,0,0,57
2022-02-01,44,5,0,0,0,0,0,84
2022-03-13,213,5,0,0,0,0,0,300
2022-03-30,235,5,0,0,1,1,0,415
2022-04-04,307,5,0,1,1,1,0,563
2021-05-24,254,6,1,0,1,0,0,298
2021-05-07,123,7,0,0,0,0,0,148
2021-06-04,179,7,0,1,4,0,0,177
2021-06-14,55,7,2,0,0,0,0,58
2022-04-01,324,7,0,0,2,0,0,476
2022-04-26,203,7,0,1,1,0,0,549
2021-05-02,34,8,1,0,0,0,0,102
2021-06-07,230,8,0,0,1,0,0,323
2022-03-08,111,8,1,0,0,0,0,260
2021-07-02,93,9,0,0,0,0,0,108
2021-12-19,168,9,0,0,0,1,0,154
2021-04-19,243,10,1,0,1,0,0,203
2022-03-02,221,11,0,0,0,0,0,582
2022-09-07,54,-1,0,0,0,0,0,186
2021-06-11,120,0,0,0,0,1,1,51
2021-07-03,51,0,0,0,1,0,1,43
2021-07-08,108,0,0,0,3,0,1,133
2021-08-04,125,0,0,0,2,0,1,174
2021-09-03,91,0,0,0,0,0,1,216
2021-11-29,146,0,0,0,0,0,1,194
2022-01-08,17,0,0,0,1,0,1,35
2022-06-17,30,0,0,0,0,1,1,86
2022-06-19,53,0,0,0,0,0,1,111
2022-06-26,20,0,0,0,11,1,1,48
2022-07-14,32,0,0,0,0,0,1,85
2022-07-19,36,0,0,0,2,0,1,136
2022-08-01,29,0,0,0,0,0,1,80
2022-08-06,27,0,0,0,0,0,1,63
2022-08-23,61,0,0,0,0,0,1,214
2022-09-04,67,0,0,0,0,0,1,158
2021-05-01,25,1,0,0,0,0,1,38
2021-06-18,20,1,0,0,1,0,1,20
2021-06-23,17,1,0,0,1,0,1,43
2021-07-14,121,1,1,0,0,1,1,124
2021-07-31,29,1,0,0,0,0,1,18
2021-08-15,146,1,0,0,1,0,1,133
2021-08-18,143,1,0,0,1,0,1,99
2021-08-26,119,1,1,0,1,0,1,126
2021-08-28,110,1,0,0,0,0,1,145
2021-09-02,171,1,0,0,0,0,1,323
2021-09-07,152,1,1,0,0,0,1,440
2021-09-11,91,1,0,0,0,0,1,111
2021-09-19,116,1,0,0,0,0,1,141
2021-09-30,82,1,0,0,2,0,1,183
2021-10-31,105,1,0,0,0,0,1,106
2022-01-02,50,1,0,0,0,0,1,76
2022-02-22,315,1,0,0,3,1,1,369
2022-04-30,102,1,0,0,0,0,1,211
2022-06-14,207,1,0,0,1,0,1,745
2022-06-25,57,1,0,0,2,0,1,124
2022-08-02,38,1,0,0,1,0,1,154
2022-08-31,37,1,0,0,0,0,1,146
2022-09-08,52,1,0,0,1,0,1,134
2022-09-12,57,1,0,0,0,0,1,131
2022-09-21,56,1,0,0,1,0,1,145
2022-09-24,50,1,0,0,0,0,1,123
2021-04-24,238,2,0,0,1,0,1,241
2021-05-28,207,2,0,0,0,0,1,273
2021-07-15,104,2,1,0,0,1,1,152
2021-08-05,113,2,0,0,0,0,1,115
2021-08-08,126,2,0,0,1,0,1,116
2021-08-21,140,2,0,0,0,1,1,158
2021-09-09,95,2,0,1,0,2,1,133
2021-09-16,105,2,0,0,0,0,1,148
2021-10-23,188,2,0,0,0,0,1,292
2021-10-28,182,2,1,0,0,0,1,333
2021-11-08,161,2,0,0,4,0,1,216
2021-11-16,149,2,0,0,0,1,1,176
2021-12-03,22,2,0,1,0,0,1,29
2022-01-21,226,2,1,0,0,0,1,205
2022-02-03,38,2,0,0,0,0,1,119
2022-02-27,228,2,0,0,1,1,1,341
2022-03-01,214,2,1,0,3,0,1,287
2022-05-01,148,2,0,1,0,0,1,314
2022-05-09,213,2,0,0,1,0,1,567
2022-05-13,82,2,0,0,0,0,1,346
2022-05-17,146,2,0,0,1,0,1,496
2022-06-20,61,2,0,0,0,0,1,202
2022-07-28,39,2,0,0,0,0,1,170
2022-07-29,24,2,1,0,0,0,1,117
2022-08-12,39,2,0,0,0,0,1,118
